연월,수출액_예측,수출액_하한(90%),수출액_상한(90%),수입액_예측,수입액_하한(90%),수입액_상한(90%)
2026-03,138906134,121250543,156561724,258247840,238477721,278017959
2026-04,148819696,129748675,167890716,256380872,231000846,281760897
2026-05,144262287,123698823,164825752,255086576,223770669,286402483
2026-06,144700956,122754019,166647893,244876862,209332897,280420827
2026-07,149182882,125934320,172431444,259632139,219889722,299374556
2026-08,154372910,129891846,178853975,251419667,208126756,294712578
2026-09,173465302,147810879,199119725,259997027,213280718,306713335
2026-10,150923657,124147243,177700071,275783690,225962812,325604568
2026-11,150018846,122165601,177872091,279367228,226573980,332160475
2026-12,153573554,124683587,182463521,273839551,218262690,329416411
